,store,sido,gungu,store_address
288,덕포,부산,사상구,부산 사상구 덕포동 767-10 (부산 사상구 백양대로 770-1)
289,동서대,부산,사상구,부산 사상구 주례동 55-176 (부산 사상구 냉정로 125)
290,모라,부산,사상구,부산 사상구 모라동 1349-4 (부산 사상구 백양대로 937)
291,신주례,부산,사상구,"부산 사상구 주례2동 3-17 (부산 사상구 백양대로 328),324-2626"
292,엄궁,부산,사상구,"부산 사상구 엄궁동 40-94 (부산 사상구 엄궁북로 39),7598"
293,학장,부산,사상구,부산 사상구 학장동 산149-16 (부산 사상구 대동로 69)
294,괴정1호,부산,사하구,부산 사하구 괴정동 487-24 (부산 사하구 괴정로 288)
295,다대1호,부산,사하구,부산 사하구 다대동 926-7 (부산 사하구 윤공단로 140)
296,다대2호,부산,사하구,부산 사하구 다대동 1014 (부산 사하구 윤공단로75번길 43 102호)
297,당리괴정2호,부산,사하구,부산 사하구 괴정동 577-42 (부산 사하구 낙동대로 310)
298,신평1호,부산,사하구,부산 사하구 신평동 262-20 (부산 사하구 장평로 282)~4
299,장림,부산,사하구,부산 사하구 장림동 590 (부산 사하구 장평로 111)
300,하단1호,부산,사하구,부산 사하구 하단2동 506-15 (부산 사하구 낙동대로 512)~1
301,하단2호,부산,사하구,부산 사하구 하단동 605-42 (부산 사하구 동매로 31-1)
302,국제신도시,부산,서구,부산 강서구 명지동 3412-6 (부산 강서구 명지국제8로 246)
303,남부민,부산,서구,부산 서구 충무동2가 3-1 (부산 서구 천마로 224)
304,대신,부산,서구,부산 서구 서대신동1가 163-1 (부산 서구 대영로 30)~3
305,명지법원네오,부산,서구,"부산 강서구 명지동 3432-1 2동 102호 (부산 강서구 명제국제2로 28번길 23, 2동 102호)"
306,명지신도시,부산,서구,부산 강서구 명지동 3256-5 (부산 강서구 명지오션시티8로30번길 26)
307,송도감천,부산,서구,"부산 서구 암남동 64-2 상가동 108호,109호(암남동) (부산 서구 감천로 271, 상가동 108호,109호(암남동))"
308,신호,부산,서구,부산 강서구 신호동 317-15 (부산 강서구 신호산단1로 76)
309,아미부민,부산,서구,부산 서구 부민동1가 11-3 (부산 서구 보수대로 99)
310,지사,부산,서구,부산 강서구 지사동 1191-5 (부산 강서구 과학산단로 334번길 8)
311,광안1호,부산,수영구,부산 수영구 광안동 120-13 (부산 수영구 무학로 30-4)
312,광안2호,부산,수영구,"부산 수영구 광안동 168-3 (부산 수영구 수영로 538),756-2092"
313,망미1호,부산,수영구,부산 수영구 망미동 413-11 (부산 수영구 과정로 44-1)
314,민락(부산),부산,수영구,부산 수영구 민락동 165-15 (부산 수영구 광남로 196-1)
315,수영,부산,수영구,부산 수영구 수영동 503-23 (부산 수영구 수영로 735)
316,거제법조,부산,연제구,부산 연제구 거제동 891-14 (부산 연제구 아시아드대로 95)
317,시청(부산),부산,연제구,부산 연제구 거제3동 34-19 (부산 연제구 거제천로 147)
318,연산1호,부산,연제구,부산 연제구 연산동 479-9 (부산 연제구 과정로 133 1층)
319,연산2호,부산,연제구,부산 연제구 연산4동 578-1 삼익아파트 상가 101호 (부산 연제구 중앙대로 1164 삼익아파트 상가 101호)~1
320,연산3호,부산,연제구,부산 연제구 연산동 2133-48 (부산 연제구 연수로 199 1층)~2
321,대교남항,부산,영도구,부산 영도구 남항동1가 82 (부산 영도구 절영로 50)
322,동삼,부산,영도구,부산 영도구 동삼동 219-146 (부산 영도구 동삼로 105 1층)
323,봉래영선,부산,영도구,"부산 영도구 영선동1가 69-2, 69-3 (부산 영도구 한결길 12)"
324,청학,부산,영도구,부산 영도구 청학동 13-14 (부산 영도구 태종로 352)
325,남포부평,부산,중구,부산 중구 중앙동1가 23-6 (부산 중구 해관로 17-1)
326,영주대청,부산,중구,부산 중구 대청동4가 82-13 (부산 중구 중구로 70-1)
327,마린시티,부산,해운대구,"부산 해운대구 우동 1434-2 (부산 해운대구 마린시티1로 155(우동,해운대현대하이페리온))"
328,반송(부산),부산,해운대구,부산 해운대구 반송2동 216-150 (부산 해운대구 윗반송로 51)
329,반여1호,부산,해운대구,"부산 해운대구 반여동 1628-5 (부산 해운대구 반여로 108),1221"
330,센텀파크,부산,해운대구,부산 해운대구 센텀동로 102 117호 (부산 해운대구 센텀동로 102 117호)
331,송정(부산),부산,해운대구,부산 해운대구 송정동 227-7 (부산 해운대구 송정중앙로 34)
332,우동1호,부산,해운대구,부산 해운대구 우동 1090-13 (부산 해운대구 해운대로 381-3)~5
333,재송1호,부산,해운대구,부산 해운대구 반여동 1291-1019 (부산 해운대구 재반로 188)
334,재송2호,부산,해운대구,부산 해운대구 재송동 1083-10 (부산 해운대구 재송1로 77)
335,좌동1호,부산,해운대구,부산 해운대구 좌동 970 (부산 해운대구 세실로 104)
336,좌동2호,부산,해운대구,부산 해운대구 좌동 1341-8 (부산 해운대구 좌동순환로 57)
337,좌동3호,부산,해운대구,"부산 해운대구 좌동 1484-1 (부산 해운대구 세실로 45),9599"
338,해운대역,부산,해운대구,부산 해운대구 우동 639-4 (부산 해운대구 해운대로 604)
339,계명,대구,남구,대구시 남구 양지로 107 (대구 남구 양지로 107(대명동))
340,대명1호,대구,남구,대구 남구 대명동 1098-4 (대구 남구 대명로 60-1)
341,봉덕,대구,남구,대구 남구 봉덕동 687-32 (대구 남구 중앙대로 22길 119-2)
342,앞산,대구,남구,대구 남구 대명동 336-11 (대구 남구 대명로 208)
343,이천대봉,대구,남구,대구 남구 이천동 184-9 (대구 남구 대봉로38길 18)
344,감삼성당,대구,달서구,"대구 달서구 감삼동 317-3 (대구 달서구 장기로 186),622-9995"
345,대곡,대구,달서구,"대구 달서구 도원동 1442-2 1층 107호 (대구 달서구 도원로 42, 1층 107호)"
346,대곡2지구,대구,달서구,"대구 달서구 대곡동 1068 (대구 달서구 갈밭로 52, 104호, 105호)"
347,두류,대구,달서구,대구 달서구 두류동 620-12 (대구 달서구 야외음악당로 175 1층)
348,상인,대구,달서구,대구 달서구 상인동 1555-1 (대구 달서구 상화북로 180)
349,성서,대구,달서구,대구 달서구 신당동 1761-5 (대구 달서구 성서서로 367(신당동))
350,송현(대구),대구,달서구,대구 달서구 송현1동 207-2 (대구 달서구 월배로 430)
351,신월성,대구,달서구,"대구 달서구 월성동 1264번지 트럼프스타 B/D 106호 (대구 달서구 조암남로 42, 트럼프스타빌딩 106호)"
352,용산,대구,달서구,"대구 달서구 용산동 950-1 (대구 달서구 용산로 210),8"
353,용산새방,대구,달서구,대구 달서구 용산동 499-2 (대구 달서구 선원로 264)
354,월성,대구,달서구,대구 달서구 본동 1135-4 (대구 달서구 와룡로 1(본동))
355,장기,대구,달서구,"대구 달서구 장기동 826-6 (대구 달서구 장기로 57길 30), 0222"
356,진천(대구),대구,달서구,대구 달서구 진천동 504 (대구 달서구 진천로 48)
357,호산파호,대구,달서구,대구 달서구 호산동 357-116 (대구 달서구 호산동로 159(호산동))
358,구지,대구,달성군,대구 달성군 구지면 응암리 1204-2 (대구 달성군 구지면 과학마을로 3길 9)
359,논공,대구,달성군,대구 달성군 논공읍 북리 803-148 (대구 달성군 논공읍 논공로5길 178)
360,다사,대구,달성군,대구 달성군 다사읍 죽곡리 809-1 (대구 달성군 다사읍 대실역남로 10)
361,명곡,대구,달성군,대구 달성군 화원읍 명곡리 320-1 (대구 달성군 화원읍 명천로 240)
362,서재세천,대구,달성군,대구 달성군 다사읍 서재리 423-15 (대구 달성군 다사읍 서재로20길 1)
363,옥포(대구),대구,달성군,"대구 달성군 옥포읍 교항리 2911 (대구 달성군 옥포읍 돌미상업로1길 21-22 (121, 122호))"
364,테크노폴리스,대구,달성군,대구 달성군 유가면 봉리 606 하이젠스타 115호 (대구 달성군 유가면 테크노중앙대로 254 하이젠스타 115호)
365,화원,대구,달성군,대구 달성군 화원읍 천내리 241-1 (대구 달성군 화원읍 사문진로 433)
366,대구혁신,대구,동구,대구 동구 각산동 1098-5 102호 (대구 동구 이노밸리로46길 2 102호)
367,동구청,대구,동구,대구 동구 신암동 345-3 (대구 동구 신암남로 178)
368,동촌,대구,동구,"대구 동구 검사동 1111 (대구 동구 동촌로 100(검사동,태왕아너스르네상스))"
369,동호,대구,동구,대구 동구 동호동 384-7 (대구 동구 동호로 64(동호동))
370,방촌,대구,동구,대구 동구 방촌동 1118-121 (대구 동구 화랑로 415)
371,신천1호(대구),대구,동구,대구 동구 신천동 501-5 (대구 동구 송라로 87)
372,신천2호,대구,동구,"대구 동구 신청동 377-12 (대구 동구 동부로 30길 27),745-5363"
373,율하(대구),대구,동구,대구 동구 율하동 1311번지 102호 (대구 동부 율하서로 78 102호)
374,이시아,대구,동구,대구 동구 봉무동 1543 (대구 동구 팔공로51길 37(봉무동))
375,지묘,대구,동구,대구 동구 지묘동 808-3 (대구 동구 파계로 95(지묘동))
376,지저불로,대구,동구,대구 동구 지저동 833-15 (대구 동구 해동로 63)
377,관음,대구,북구,대구 북구 관음동 1383-9 (대구 북구 칠곡중앙대로 491)
378,구암,대구,북구,"대구 북구 태전동 1074-6 (대구 북구 태암남로 10),323-9969"
379,금호지구,대구,북구,대구 북구 사수동 912 (대구 북구 한강로 60-1)
380,도남지구,대구,북구,"대구 북구 국우동 592-1 (대구광역시 북구 도남길 16, 219동 108호)"
381,동서변,대구,북구,대구 북구 동변동 669-4 (대구 북구 동변로 91)
382,동천3지구,대구,북구,"대구 북구 동천동 906-3 (대구 북구 동천로 125-9),6551"
383,복현1호,대구,북구,대구 북구 복현동 426-5 (대구 북구 동북로 238)
384,복현2호,대구,북구,"대구 북구 복현동 539 -110 복현서한타운 상가 103호 (대구 북구 검단로 50, 서한1차아파트 상가 103호)"
385,산격,대구,북구,"대구 북구 산격동 1400-20 (대구 북구 대학로 69), 1102"
386,신암대현,대구,북구,대구 북구 대현동 153-4 (대구 북구 대현로 113-1)
387,연경,대구,북구,대구 북구 연경동 949-1 (대구 북구 연경지묘로 6(연경동))
388,원대노원,대구,북구,대구 북구 노원동3가 892-1 (대구 북구 팔달로 27길 81 1층)
389,읍내(대구),대구,북구,대구 북구 읍내동 1449 202동 103호 (대구 북구 관음로 295 202동 103호)
390,칠성고성,대구,북구,대구 북구 칠성동2가 42-9 (대구 북구 호암로 6)
391,침산,대구,북구,"대구 북구 침산동 457-31 (대구 북구 성북로 1),9905"
392,태전(대구),대구,북구,대구 북구 태전동 155-35 (대구 북구 태전로 29)
393,팔달매천,대구,북구,"대구 북구 매천동 682 (대구 북구 매전로 2-1),9920"
394,학정,대구,북구,대구 북구 학정동 282-14 (대구 북구 학정로 537)
395,감삼성당,대구,서구,"대구 달서구 감삼동 317-3 (대구 달서구 장기로 186),622-9995"
396,내당,대구,서구,"대구 서구 내당동 219-7 (대구 서구 달구벌대로 1795-1), 555-9981"
397,달성비산,대구,서구,대구 서구 비산동 440-5 (대구 서구 달서로 139-1)
398,대곡,대구,서구,"대구 달서구 도원동 1442-2 1층 107호 (대구 달서구 도원로 42, 1층 107호)"
399,대곡2지구,대구,서구,"대구 달서구 대곡동 1068 (대구 달서구 갈밭로 52, 104호, 105호)"
400,두류,대구,서구,대구 달서구 두류동 620-12 (대구 달서구 야외음악당로 175 1층)
401,상인,대구,서구,대구 달서구 상인동 1555-1 (대구 달서구 상화북로 180)
402,성서,대구,서구,대구 달서구 신당동 1761-5 (대구 달서구 성서서로 367(신당동))
403,송현(대구),대구,서구,대구 달서구 송현1동 207-2 (대구 달서구 월배로 430)
404,신월성,대구,서구,"대구 달서구 월성동 1264번지 트럼프스타 B/D 106호 (대구 달서구 조암남로 42, 트럼프스타빌딩 106호)"
405,용산,대구,서구,"대구 달서구 용산동 950-1 (대구 달서구 용산로 210),8"
406,용산새방,대구,서구,대구 달서구 용산동 499-2 (대구 달서구 선원로 264)
407,월성,대구,서구,대구 달서구 본동 1135-4 (대구 달서구 와룡로 1(본동))
408,장기,대구,서구,"대구 달서구 장기동 826-6 (대구 달서구 장기로 57길 30), 0222"
409,진천(대구),대구,서구,대구 달서구 진천동 504 (대구 달서구 진천로 48)
410,평리,대구,서구,대구 서구 평리동 1217-2 (대구 서구 국채보상로 266)
411,호산파호,대구,서구,대구 달서구 호산동 357-116 (대구 달서구 호산동로 159(호산동))
412,만촌1호,대구,수성구,대구 수성구 만촌동 849-2 (대구 수성구 달구벌대로 2614)
413,만촌2호,대구,수성구,대구 수성구 만촌1동 1326-32 (대구 수성구 동원로28길 15(만촌동))~1
414,범물,대구,수성구,"대구 수성구 범물동 1374-4 (대구 수성구 범안로 58, 1층)"
415,범어1호,대구,수성구,대구 수성구 범어동 203-18 (대구 수성구 달구벌대로 496길17)
416,범어2호,대구,수성구,대구 수성구 범어동 478-12 (대구 수성구 상록로 43)
417,수성(대구),대구,수성구,대구 수성구 수성동4가 1022-11 (대구 수성구 들안로 341)
418,시지1호,대구,수성구,"대구 수성구 매호동 1328-12 (대구광역시 수성구 천을로 157-1),9927"
419,시지2호,대구,수성구,대구 수성구 시지동 489-2 (대구 수성구 시지로 40)
420,시지3호,대구,수성구,대구 수성구 신매동 593-4 (대구 수성구 신매로 30-1)
421,중동,대구,수성구,대구 수성구 중동 258-3 (대구 수성구 수성로 203-1)~2
422,파동,대구,수성구,"대구 수성구 상동 380-2 (대구 수성구 수성로 72), 766-5419"
423,황금,대구,수성구,대구 수성구 황금동 843-1 (대구 수성구 동대구로 149)
424,남산,대구,중구,"대구 중구 남산동 94-25 (대구 중구 남산로17길 10),3"
425,중앙(대구),대구,중구,대구 중구 남일동 33-9 (대구 중구 중앙대로 417-2)
426,강화,인천,강화군,인천 강화군 강화읍 갑곳리 199-1 (인천 강화군 강화읍 강화대로 342)
427,계산1호,인천,계양구,인천 계양구 계산동 1081-10 (인천 계양구 오조산로 57번길 15)
428,계산2호,인천,계양구,"인천 계양구 계산동 61-2 (인천 계양구 계산새로 25, 성일빌딩 1층 1호)"
429,계산3호,인천,계양구,인천 계양구 계산동 942-30 (인천 계양구 계양대로205번길 23)
430,임학박촌,인천,계양구,"인천 계양구 박촌동 52-3 (인천 계양구 장제로 1013),556-3999"
431,작전1호,인천,계양구,인천 계양구 작전동 149-1 (인천 계양구 장제로 672)
432,효성1호,인천,계양구,"인천 계양구 효성1동 21-11 현대아파트 상가동 101호, 102호, 103호 (인천 계양구 길마로 70 현대아파트 상가동 101호, 102호, 103호)~2"
433,효성2호,인천,계양구,인천 계양구 효성2동 273-3 (인천 계양구 안남로 486-2)
434,관교,인천,남구,인천 남구 관교동 321-5 (인천 남구 인하로 404-2)~5
435,용현2동,인천,남구,인천 남구 용현동 558-32 (인천 남구 낙섬중로 96 1층)
436,용현5동,인천,남구,인천 남구 용현동 630-45 (인천 남구 토금남로 12(용현동))
437,주안1호,인천,남구,인천 남구 주안동 1523-2 (인천 남구 인하로 346)~3
438,주안2호,인천,남구,인천 남구 도화동 432-2 (인천 남구 경인로 306)
439,주안3호,인천,남구,인천 남구 주안동 929-11 (인천 남구 경원대로 898)
440,학익1호,인천,남구,인천 남구 학익동 293-37 (인천 남구 한나루로 420)~4
441,간석1호,인천,남동구,"인천 남동구 구월동 70-80 (인천 남동구 용천로97번길 3),6764"
442,구월,인천,남동구,인천 남동구 구월동 1133-13 (인천 남동구 미래로 39 더클래스)
443,구월아시아드,인천,남동구,"인천 남동구 구월동 1517-2 (인천 남동구 인하로 629(구월동,원준프라자))"
444,논현1호(인천),인천,남동구,인천 남동구 논현동 620-8 (인천 남동구 논고개로 123번길 42)
445,논현에코메트로,인천,남동구,"인천 남동구 논현동 752-1 (인천 남동구 소래역남로22 (103호, 104호))"
446,만수1호,인천,남동구,인천 남동구 만수동 1045 103호 (인천 남동구 담방로21번길 23)
447,만수2호,인천,남동구,인천 남동구 만수동 1118-2 (인천 남동구 만수서로 62)
448,만수3호,인천,남동구,인천 남동구 간석3동 921-14 (인천 남동구 백범로 258)
449,만수역,인천,남동구,인천 남동구 만수동 886-35 (인천 남동구 구월로 341)
450,서창,인천,남동구,인천 남동구 서창동 706 (인천 남동구 서창 남순환로 216번길 35)
451,소래포구,인천,남동구,인천 남동구 논현동 671-3 (인천 남동구 소래역로 46)
452,간석1호,인천,동구,"인천 남동구 구월동 70-80 (인천 남동구 용천로97번길 3),6764"
453,구월,인천,동구,인천 남동구 구월동 1133-13 (인천 남동구 미래로 39 더클래스)
454,구월아시아드,인천,동구,"인천 남동구 구월동 1517-2 (인천 남동구 인하로 629(구월동,원준프라자))"
455,논현1호(인천),인천,동구,인천 남동구 논현동 620-8 (인천 남동구 논고개로 123번길 42)
456,논현에코메트로,인천,동구,"인천 남동구 논현동 752-1 (인천 남동구 소래역남로22 (103호, 104호))"
457,만수1호,인천,동구,인천 남동구 만수동 1045 103호 (인천 남동구 담방로21번길 23)
458,만수2호,인천,동구,인천 남동구 만수동 1118-2 (인천 남동구 만수서로 62)
459,만수3호,인천,동구,인천 남동구 간석3동 921-14 (인천 남동구 백범로 258)
460,만수역,인천,동구,인천 남동구 만수동 886-35 (인천 남동구 구월로 341)
461,서창,인천,동구,인천 남동구 서창동 706 (인천 남동구 서창 남순환로 216번길 35)
462,소래포구,인천,동구,인천 남동구 논현동 671-3 (인천 남동구 소래역로 46)
463,송현(인천),인천,동구,인천 동구 송림동 234-1 (인천 동구 송림로 17)
464,갈산삼산지구,인천,부평구,인천 부평구 갈산동 55-8 (인천 부평구 평천로 368)
465,부개3동,인천,부평구,"인천 부평구 부개동 12-176 (인천 부평구 길주남로 128),513-9982"
466,부평1호,인천,부평구,인천 부평구 부평동 451-30 (인천 부평구 부평대로 115)
467,부평2호,인천,부평구,인천 부평구 부평동 889-8 (인천 부평구 길주남로 31)
468,부평역,인천,부평구,인천 부평구 부평동 192-14 (인천 부평구 시장로 31)
469,산곡1호,인천,부평구,인천 부평구 산곡동 369-270 (인천 부평구 마장로 153)~2
470,산곡2호,인천,부평구,인천 부평구 청천동 259-15 ()
471,산곡3호,인천,부평구,인천 부평구 산곡2동 251-1 (인천 부평구 마장로 250)
472,삼산(부평),인천,부평구,인천 부평구 삼산동 433-1 (인천 부평구 충선로 311번길 25-23)
473,십정1호,인천,부평구,인천 부평구 십정동 440-11 (인천 부평구 백범로468번길 7-2)
474,청천,인천,부평구,인천 부평구 청천동 14-8 (인천 부평구 마장로 463)
475,가정루원시티,인천,서구,인천 서구 가정동 614-14 (인천 서구 염곡로 498번안길 25)
476,가좌,인천,서구,인천 서구 가좌동 30-78 (인천 서구 원적로 100번길 18)
477,검단1호,인천,서구,"인천 서구 검단로 왕길동 637-1 (인천 서구 검단로 459번길 7-3 (106,107호))"
478,검단신도시1호,인천,서구,인천 서구 이음5로 34 (인천 서구 이음5로 34)
479,검암,인천,서구,"인천 서구 검암동 626-2번지 태건프라자 105호 (인천 서구 승학로 452, 태건프라자 105호)"
480,당하,인천,서구,인천 서구 마전동 585 (인천 서구 마전동 완정로 18번지 102호)
481,불로원당,인천,서구,"인천 서구 당하동 1033-3 조이빌 103 (인천 서구 원당대로 882 조이빌 103호),2113"
482,석남가정,인천,서구,인천 서구 가정동 505-4 (인천 서구 원창로 215)
483,연희1호(인천),인천,서구,인천 서구 심곡동 257-15 (인천 서구 심곡로 34)
484,청라호수공원,인천,서구,인천 서구 청라동 152-15 (인천 서구 크리스탈로 84)
485,동춘,인천,연수구,인천 연수구 동춘동 934-1 (인천 연수구 앵고개로 264번길 10-11 1층)
486,선학연수3호,인천,연수구,인천 연수구 선학동 406-2 (인천 연수구 학나래로 118번길 29)
487,송도1호,인천,연수구,"인천 연수구 송도동 21-59 302동 102호 (인천 연수구 컨벤시아대로 70, 302동 102호)"
488,송도8공구,인천,연수구,인천 연수구 송도동 316 (인천 연수구 센트럴로 415)
489,송도드림시티,인천,연수구,"인천 연수구 송도동 3-2 (인천 연수구 컨벤시아대로 81 드림씨티(122,123호))"
490,송도캠퍼스타운,인천,연수구,인천 연수구 송도동 155(송도아메리칸타운파크) (인천 연수구 송도과학로27번길 15(송도아메리칸타운파크))
491,연수중앙,인천,연수구,인천 연수구 연수동 626 (인천 연수구 샘말로44번길 2)
492,옥련,인천,연수구,인천 연수구 옥련동 194-4 (인천 연수구 독배로 35)
493,공항신도시,인천,중구,인천 중구 운서동 2801-3 (인천 중구 신도시남로 150번길 6)~1
494,영종하늘도시,인천,중구,인천 중구 중산동 1884-4 (인천 중구 하늘중앙로 195번길 24(중산동))
495,운서,인천,중구,인천 중구 운서동 2913-3 (인천 중구 넙디로 60)
496,선운지구,광주,광산구,광주 광산구 선암동 777 (광주 광산구 선운로 7)
497,소촌우산,광주,광산구,광주 광산구 소촌동 244-6 (광주 광산구 소촌로 152번길 30)
498,송정1호,광주,광산구,광주 광산구 도산동 1143 (광주 광산구 도산로 10)
499,수완1호,광주,광산구,"광주 광산구 장덕동 1479번지 1층 (광주 광산구 장신로19번안길 29-2, 1층)"
500,수완2호,광주,광산구,광주 광산구 수완동 1126 (광주 광산구 수완로 67)
501,신가,광주,광산구,광주 광산구 신가동 974-6 (광주 광산구 신가삼효로 8-13)
502,신창,광주,광산구,광주 광산구 신창동 1236-1 (광주 광산구 신창로 104 105호)
503,운남1호,광주,광산구,광주 광산구 월곡2동 683-1 (광주 광산구 풍영로 47)~1
504,첨단1호,광주,광산구,광주 광산구 산월동 884-2 (광주광역시 광산구 첨단중앙로68번길 134 첨단3-3차 호반리젠시빌아파트상가 2동 103호)~3
505,첨단2호,광주,광산구,광주 광산구 쌍암동 655-4번지 (광주 광산구 첨단중앙로170번길 12)~3
506,첨단중앙,광주,광산구,광주 광산구 월계동 887-3 (광주 광산구 첨단중앙로106번길 29)
507,하남1호,광주,광산구,광주 광산구 산정동 977-13 (광주 광산구 월곡산정로 13-1)
508,하남2지구,광주,광산구,광주 광산구 산정동 1039 (광주 광산구 용아로 379번길 55)
509,노대효천,광주,남구,광주 남구 노대동 819 (광주 남구 효우로 136)
510,백운,광주,남구,광주 남구 서동 71-15 (광주 남구 중앙로 66)
511,봉선1호,광주,남구,광주 남구 주월1동 1253-4 (광주 남구 봉선중앙로 135-1)
512,봉선2호,광주,남구,광주 남구 봉선동 164-1 (광주 남구 봉선2로 85)
513,주월,광주,남구,광주 남구 월산동 1034-17 (광주 남구 군분로 58)
514,진월,광주,남구,"광주 남구 진월동 426-1 (광주 남구 수문대로 629),"
515,계림,광주,동구,광주 동구 대인동 319-6 (광주 동구 동계천로 12-1)
516,조선대,광주,동구,광주 동구 지산동 500번지 (광주 동구 지산로 21 (지산동))
517,학동,광주,동구,"광주 동구 학동 735-16 (광주 동구 의재로 22),0092"
518,두암1호,광주,북구,광주 북구 두암2동 826-50 (광주 북구 군왕로 154)
519,매곡,광주,북구,광주 북구 매곡동 334-5 (광주 북구 하백로 15)
520,문흥1호,광주,북구,"광주 북구 문흥동 980-15 (광주 북구 문산로 86-1),264-9990"
521,양산1호,광주,북구,"광주 북구 양산동 877-1 1층 (광주 북구 양산로 48, 1층)"
522,연제,광주,북구,광주 북구 연제동 41-3 (광주 북구 양일로 54)
523,오치,광주,북구,광주 북구 오치동 785-4 (광주 북구 설죽로 306)
524,운암1호,광주,북구,광주 북구 운암3동 1051-5 (광주 북구 북문대로 158)~4
525,운암2호(광주),광주,북구,광주 북구 운암동 운암동 130-1 (광주 북구 비엔날레로 29)
526,일곡1호,광주,북구,"광주 북구 일곡동 834-11 (광주 북구 송해로 60),572-7893"
527,전남대,광주,북구,광주 북구 용봉동 157-20 (광주 북구 호동로 43번길 38)
528,첨단신용,광주,북구,광주 북구 신용동 693 (광주 북구 첨단 연신로 91번길 38 107호)
529,금호,광주,서구,광주 서구 쌍촌동 881번지 (광주 서구 화정로 1)
530,농성1호,광주,서구,광주 서구 화정동 178-128 (광주 서구 군분2로 21-2)
531,동천(광주),광주,서구,광주 서구 동천동 598 (광주 서구 하남대로 680번길 2)
532,마재,광주,서구,"광주 서구 금호동 813 대주파크빌상가 124동 114호, 115호 (광주 서구 화개1로24번길 9 대주파크빌상가 124동 114호, 115호)"
533,상무1호,광주,서구,광주 서구 치평동 1258 (광주 서구 상무연하로 22)
534,쌍촌1호,광주,서구,광주 서구 쌍촌동 147 (광주 서구 내방로 231)~6
535,풍암1호,광주,서구,광주 서구 풍암동 1111-2 (광주 서구 풍암1로 11)
536,화정1호(광주),광주,서구,광주 서구 화정동 824-16 (광주 서구 월드컵4강로 70)
537,화정2호,광주,서구,"광주 서구 농성동 666-1 1층 113,114호 (광주 서구 화정로 259 1층 113,114호)"
538,법동,대전,대덕구,대전 대덕구 중리동 385-26 (대전 대덕구 중리로 48)
539,송촌1호,대전,대덕구,대전 대덕구 송촌동 454-4 (대전 대덕구 송촌북로 20번길 27-17)
540,신탄진,대전,대덕구,대전 대덕구 석봉동 309-1 (대전 대덕구 대덕대로 1550)
541,한남대,대전,대덕구,대전 대덕구 한남로 오정동 223-260 (대전 대덕구 한남로 12번길 19-9)
542,가오천동,대전,동구,대전 동구 가오동 235-12 (대전 동구 대전로 446)
543,낭월,대전,동구,대전 동구 낭월동 370 (대전 동구 산내로 1333)
544,비래,대전,동구,대전 동구 가양동 88-1 조일아파트상가 A동 (대전 동구 충정로 5 조일아파트상가 A동)
545,용운,대전,동구,"대전 동구 용운동 306-3 (대전 동구 용운로 156),9040"
546,자양대동,대전,동구,대전 동구 대동 192-1 (대전 동구 동대전로 93)
547,가장내동,대전,서구,대전 서구 가장동 50-45 (대전 서구 가장로 129)
548,갈마1호,대전,서구,대전 서구 갈마동 394-29 (대전광역시 서구 갈마로 75)
549,관저느리울,대전,서구,"대전 서구 관저동 1354 (대전 서구 관저동로 65),8599"
550,도마1호,대전,서구,대전 서구 도마동 114-19 (대전 서구 배재로 88)
551,도안2지구,대전,서구,대전 서구 가수원동 1036 (대전 서구 도안동로11번길 16)
552,둔산1호,대전,서구,"대전 서구 둔산2동 1093 (대전 서구 갈마역로 22, 101호),486-9949"
553,둔산2호,대전,서구,대전 서구 둔산동 1851 (대전 서구 둔산로 238)
554,만년,대전,서구,대전 서구 만년동 316 (대전 서구 만년로 67번길 34-26)
555,복수,대전,서구,대전 서구 복수동 622 (대전 서구 복수동로 63)
556,월평1호,대전,서구,대전 서구 월평동 525 (대전 서구 월평로 71)
557,탄방,대전,서구,대전 서구 탄방동 1007 (대전 서구 탄방로7번길 85)
558,관저1호,대전,유성구,대전 유성구 원내동 829 외 1필지 (대전 유성구 계백로 963)
559,관평,대전,유성구,대전 유성구 관평동 1056 (대전 유성구 관평1로 67)
560,노은1지구,대전,유성구,대전 유성구 노은동 553-9 스타돔 120호 (대전 유성구 노은로 71 스타돔 120호) 042-823 - 2255
561,노은2지구,대전,유성구,대전 유성구 지족동 985-2 (대전 유성구 지족로 355)
562,도안1지구,대전,유성구,대전 유성구 상대동 469-9 (대전 유성구 상대동로 50)
563,송강,대전,유성구,"대전 유성구 봉산동 198-13 (대전 유성구 봉산로 36),9250"
564,신성,대전,유성구,대전 유성구 신성동 137-15 (대전 유성구 신성로 80-1)
565,유성,대전,유성구,대전 유성구 봉명동 621-1 (대전 유성구 문화원로 90)~7
566,전민,대전,유성구,대전 유성구 문지동 635-8 (대전 유성구 문지로 315번길2)
567,한밭대,대전,유성구,대전 유성구 덕명동 592-6 (대전 유성구 동서대로179번길 71)
568,대사부사,대전,중구,대전 중구 대사동 69-53 (대전 중구 충무로 116)
569,대흥,대전,중구,대전 중구 대흥동 204-3 (대전 중구 중앙로 130번길 9)
570,문화1호,대전,중구,"대전 중구 문화동 466-16 (대전 중구 천근로 21),7757"
571,용두오류,대전,중구,대전 중구 오류동 153-27 (대전 중구 계룡로 874번길 31)
572,중촌목동,대전,중구,대전 중구 중촌동 12-5 (대전 중구 목중로 26번길 53)
573,태평1호,대전,중구,대전 중구 유천동 326-13 (대전 중구 태평로 22(유천동))
